,ds,yhat
106,2018-03-30,28611.125952565173
107,2018-04-06,29687.13327024266
108,2018-04-13,30655.36603337043
109,2018-04-20,31352.59299290739
110,2018-05-04,32665.21289486269
111,2018-05-18,33101.21379754427
112,2018-06-01,32931.69528134612
113,2018-06-22,31148.098520906187
114,2018-07-20,29573.89846384665
115,2018-07-27,31951.313354011287
116,2018-08-03,32337.95945884589
117,2018-08-24,27190.46854012317
118,2018-09-21,25331.521519880014
119,2018-09-28,24258.458392486493
120,2018-10-05,23964.94455823653
121,2018-10-19,23817.673265204103
122,2018-11-02,23213.1696453
123,2018-11-09,23946.99908890657
124,2018-11-16,25228.84643742322
125,2018-11-23,26249.36600992242
126,2019-02-15,31006.130292689933
127,2019-03-08,32302.585693200363
128,2019-03-15,31597.144516934943
129,2019-03-22,31255.249224672625
130,2019-03-29,31730.90096869664
131,2019-04-01,33999.53178171917
132,2019-04-05,32765.24926163749
133,2019-04-12,33779.48297953812
134,2019-04-19,34514.6084730256
135,2019-04-26,35146.77085218644
136,2019-05-03,35824.91005678478
137,2019-05-10,36337.2954554502
138,2019-05-17,36405.650719633704
139,2019-05-24,36185.16255612949
140,2019-05-31,36166.06302492693
141,2019-06-07,36440.50893144926
142,2019-06-14,36284.00565012428
143,2019-06-21,34826.78668384195
144,2019-06-28,32264.14748500543
145,2019-07-05,30154.557466855313
146,2019-07-12,30157.903729743502
147,2019-07-19,32344.889123519897
148,2019-07-26,34904.43135759336
149,2019-08-02,35720.00530292088
150,2019-08-09,34278.1981222345
151,2019-08-16,31970.94664796648
152,2019-08-23,30556.76244396873
153,2019-08-30,30471.533166778172
154,2019-09-06,30706.898658678976
155,2019-09-20,28850.429366756576
156,2019-09-27,27663.10737535853
157,2019-10-04,27238.854195395725
158,2019-10-11,27295.935881736823
159,2019-10-18,27156.711233079084
160,2019-10-25,26680.082936612376
161,2019-11-01,26445.46857888529
162,2019-11-08,27025.440475751893
163,2019-11-15,28263.919688012924
164,2019-11-22,29387.803202964995
165,2019-11-29,29764.710644820218
166,2019-12-06,29447.803354731113
167,2019-12-13,29012.854617915826
168,2019-12-20,29001.994882422223
169,2019-12-27,29570.737544437463
170,2020-01-03,30531.97103196004
171,2020-01-10,31560.78022692282
172,2020-01-17,32352.454085954178
173,2020-01-23,29507.54203239617
174,2020-01-31,32943.594402263196
175,2020-02-07,33292.190247557126
176,2020-02-14,34091.85687285776
177,2020-02-21,35135.57224656365
178,2020-02-28,35807.400998126126
179,2020-03-06,35672.47280729003
180,2020-03-13,34988.19258278216
181,2020-03-27,34858.34310218005
182,2020-04-03,35835.57304435247
183,2020-04-10,36887.535630490405
184,2020-04-17,37667.98018655824
185,2020-04-24,38299.421005634904
186,2020-05-01,38974.713177974285
187,2020-05-08,39542.97713602247
188,2020-05-15,39695.45867245224
189,2020-05-22,39492.51844275215
190,2020-05-29,39408.69599702238
191,2020-06-05,39662.47464263725
192,2020-06-12,39658.99054292474
193,2020-06-19,38463.320903488624
194,2020-06-26,36014.491310562276
195,2020-07-03,33680.14504307765
196,2020-07-10,33239.41163724808
197,2020-07-17,35127.16230313493
198,2020-07-24,37795.931584427424
199,2020-07-31,39023.494349868306
200,2020-08-07,37925.02422214356
201,2020-08-14,35626.5556059371
202,2020-08-21,33969.75623632114
203,2020-08-28,33692.333300189995
204,2020-09-04,33970.07624427799
205,2020-09-11,33575.571110585865
206,2020-09-18,32316.894592142256
207,2020-09-25,31008.870135033325
208,2020-10-09,30408.769097007324
209,2020-10-16,30310.58898407102
210,2020-10-23,29837.804479588136
211,2020-10-30,29476.421631462177
212,2020-11-06,29868.48758802358
213,2020-11-13,31007.937809620795
214,2020-11-20,32184.727718209793
215,2020-11-27,32629.99034579257
216,2020-12-04,32320.15155243976
217,2020-12-11,31775.667131943745
218,2020-12-18,31582.34467763357
219,2020-12-25,31971.236907164297
220,2021-01-08,33760.39369461312
221,2021-01-15,34528.885934261074
222,2021-01-22,34922.76647354707
223,2021-01-29,35036.633428454945
224,2021-02-05,35242.17886828562
225,2021-02-19,36692.15644928542
226,2021-02-26,37323.35364838922
227,2021-03-05,37182.521572737234
228,2021-03-12,36392.82914506657
229,2021-03-19,35682.451027456766
230,2021-03-26,35706.537142428264
231,2021-04-02,36452.84917477867
232,2021-04-09,37377.30574920069
233,2021-04-16,38054.79744624417
234,2021-04-23,38471.755769044976
235,2021-04-30,38917.55473042057
236,2021-05-07,39308.88561653395
237,2021-05-14,39325.93898986065
238,2021-05-21,38936.50365660395
239,2021-05-28,38575.515919771744
240,2021-06-04,38567.09093433814
241,2021-06-11,38461.85594730151
242,2021-06-18,37302.71639251967
243,2021-06-25,34793.00673670578
244,2021-07-02,32029.792331322824
245,2021-07-09,30894.70903015351
246,2021-07-16,32163.874127589857
247,2021-07-23,34598.85134227318
248,2021-07-30,35942.06194307699
249,2021-08-06,34960.63787023898
250,2021-08-13,32469.007720948044
251,2021-08-20,30328.267244648756
252,2021-08-27,29562.552270561795
253,2021-09-03,29574.22924176219
254,2021-09-10,29111.687661190033
255,2021-09-17,27729.115013041806
256,2021-09-24,26118.503231024337
257,2021-10-01,25140.224070820805
258,2021-10-08,24838.207448433954
259,2021-10-15,24562.219386191657
260,2021-10-22,23901.947620855124
261,2021-10-29,23227.986999034707
262,2021-11-05,23223.343062086868
263,2021-11-12,24030.22947374337
264,2021-11-19,25026.48499037839
265,2021-11-26,25437.36000292323
266,2021-12-03,25052.356767555782
267,2021-12-10,24317.74674528696
268,2021-12-17,23848.8172250449
269,2021-12-24,23952.30943797165
270,2021-12-31,24541.499866482536
271,2022-01-07,25318.77864127615
272,2022-01-14,25957.301770473452
273,2022-01-21,26237.395329421917
274,2022-01-28,26196.406535235234
275,2022-02-04,26170.472369120227
276,2022-02-11,26536.60496765162
277,2022-02-18,27285.46175350277
278,2022-02-25,27898.566844291956
279,2022-03-04,27796.652262414747
280,2022-03-11,26967.63664532882
281,2022-03-18,26069.52069275146
282,2022-03-25,25828.40748577765
283,2022-04-01,26365.25179366136
284,2022-04-08,27188.37579425079
285,2022-04-15,27806.489430141268
286,2022-04-22,28193.917670242485
287,2022-04-29,28583.720403239266
288,2022-05-06,28962.58339534609
289,2022-05-13,29018.88942510816
290,2022-05-20,28634.95657911329
291,2022-06-03,28076.379252719827
292,2022-06-10,28011.69348884337
293,2022-06-17,27053.49437266448
294,2022-06-24,24697.788669364047
295,2022-07-01,21835.677390812612
296,2022-07-08,20300.06776296946
297,2022-07-15,21174.36374264687
298,2022-07-22,23563.578033363898
299,2022-07-29,25246.21151919727
300,2022-08-05,24676.989409082093
301,2022-08-12,22323.346506038273
302,2022-08-19,19999.736128867247
303,2022-08-26,18989.778366017727
304,2022-09-02,18957.181788572176
305,2022-09-16,17404.99865476742
306,2022-09-17,20434.08344929611
307,2022-09-18,20194.479989801555
308,2022-09-19,18548.708049096273
309,2022-09-20,18966.123697763214
310,2022-09-21,17515.543802886667
311,2022-09-22,12762.742195074712
312,2022-09-23,15759.675714963654
313,2022-09-24,18814.00070348511
314,2022-09-25,18619.50763345892
315,2022-09-26,17037.06119438595
316,2022-09-27,17533.902974860346
317,2022-09-28,16176.346943637009
318,2022-09-29,11527.355929912452
