,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
207,2020-09-25,36540.00746090524,24186.929052820884,37674.52739090812,36540.00746090524,36540.00746090524,-5531.137325871915,-5531.137325871915,-5531.137325871915,-1284.3167633988808,-1284.3167633988808,-1284.3167633988808,-4246.820562473034,-4246.820562473034,-4246.820562473034,0.0,0.0,0.0,31008.870135033325
208,2020-10-09,36607.92050962362,23734.261590325244,37159.39776439998,36607.92050962362,36607.92050962362,-6199.151412616293,-6199.151412616293,-6199.151412616293,-1284.3167633924422,-1284.3167633924422,-1284.3167633924422,-4914.83464922385,-4914.83464922385,-4914.83464922385,0.0,0.0,0.0,30408.769097007324
209,2020-10-16,36641.87703398281,23328.400172118236,37228.96395850363,36641.87703398281,36641.87703398281,-6331.288049911792,-6331.288049911792,-6331.288049911792,-1284.316763387896,-1284.316763387896,-1284.316763387896,-5046.971286523897,-5046.971286523897,-5046.971286523897,0.0,0.0,0.0,30310.58898407102
210,2020-10-23,36675.833558342005,22824.07230068723,36529.91481383166,36675.833558342005,36675.833558342005,-6838.029078753868,-6838.029078753868,-6838.029078753868,-1284.3167633846772,-1284.3167633846772,-1284.3167633846772,-5553.712315369194,-5553.712315369194,-5553.712315369194,0.0,0.0,0.0,29837.804479588136
211,2020-10-30,36709.79008270119,22850.15644437529,36433.726062055655,36709.79008270119,36709.79008270119,-7233.368451239016,-7233.368451239016,-7233.368451239016,-1284.3167633801306,-1284.3167633801306,-1284.3167633801306,-5949.051687858887,-5949.051687858887,-5949.051687858887,0.0,0.0,0.0,29476.421631462174
212,2020-11-06,36743.746607060384,23815.410033566845,36280.629727954074,36743.746607060384,36743.746607060384,-6875.259019036803,-6875.259019036803,-6875.259019036803,-1284.316763378239,-1284.316763378239,-1284.316763378239,-5590.942255658562,-5590.942255658562,-5590.942255658562,0.0,0.0,0.0,29868.48758802358
213,2020-11-13,36777.70313141957,23685.648751150635,37519.50810087269,36777.70313141957,36777.70313141957,-5769.765321798775,-5769.765321798775,-5769.765321798775,-1284.316763393085,-1284.316763393085,-1284.316763393085,-4485.44855840569,-4485.44855840569,-4485.44855840569,0.0,0.0,0.0,31007.937809620795
214,2020-11-20,36811.65965577876,25581.751575065115,38872.35681946921,36811.65965577876,36811.65965577876,-4626.931937568969,-4626.931937568969,-4626.931937568969,-1284.3167633898663,-1284.3167633898663,-1284.3167633898663,-3342.6151741791027,-3342.6151741791027,-3342.6151741791027,0.0,0.0,0.0,32184.727718209793
215,2020-11-27,36791.47225219431,25974.425651575933,39705.663413738315,36791.47225219431,36791.47225219431,-4161.481906401743,-4161.481906401743,-4161.481906401743,-1284.3167633866467,-1284.3167633866467,-1284.3167633866467,-2877.1651430150946,-2877.1651430150946,-2877.1651430150946,0.0,0.0,0.0,32629.99034579257
216,2020-12-04,36771.28484860987,25419.446915929868,38834.53829767054,36771.28484860987,36771.28484860987,-4451.133296170103,-4451.133296170103,-4451.133296170103,-1284.316763402821,-1284.316763402821,-1284.316763402821,-3166.8165327672828,-3166.8165327672828,-3166.8165327672828,0.0,0.0,0.0,32320.151552439762
217,2020-12-11,36751.09744502541,25418.024281017464,38364.73051390297,36751.09744502541,36751.09744502541,-4975.430313081662,-4975.430313081662,-4975.430313081662,-1284.3167633982744,-1284.3167633982744,-1284.3167633982744,-3691.1135496833867,-3691.1135496833867,-3691.1135496833867,0.0,0.0,0.0,31775.667131943745
218,2020-12-18,36730.910041440955,24897.944986242186,38701.7499777305,36730.910041440955,36730.910041440955,-5148.565363807387,-5148.565363807387,-5148.565363807387,-1284.3167633963828,-1284.3167633963828,-1284.3167633963828,-3864.248600411004,-3864.248600411004,-3864.248600411004,0.0,0.0,0.0,31582.34467763357
219,2020-12-25,36710.7226378565,25178.447265636383,38676.32941361679,36710.7226378565,36710.7226378565,-4739.485730692208,-4739.485730692208,-4739.485730692208,-1284.3167633918363,-1284.3167633918363,-1284.3167633918363,-3455.168967300371,-3455.168967300371,-3455.168967300371,0.0,0.0,0.0,31971.236907164297
220,2021-01-08,36670.347830687606,27321.5649744913,40432.26795041972,36670.347830687606,36670.347830687606,-2909.954136074483,-2909.954136074483,-2909.954136074483,-1284.316763384071,-1284.316763384071,-1284.316763384071,-1625.6373726904121,-1625.6373726904121,-1625.6373726904121,0.0,0.0,0.0,33760.39369461312
221,2021-01-15,36650.160427103154,28102.56861977632,41138.70930377696,36650.160427103154,36650.160427103154,-2121.274492842083,-2121.274492842083,-2121.274492842083,-1284.3167633808516,-1284.3167633808516,-1284.3167633808516,-836.9577294612309,-836.9577294612309,-836.9577294612309,0.0,0.0,0.0,34528.885934261074
222,2021-01-22,36629.973023518694,28425.79193135376,41831.26382293514,36629.973023518694,36629.973023518694,-1707.2065499716273,-1707.2065499716273,-1707.2065499716273,-1284.3167633970254,-1284.3167633970254,-1284.3167633970254,-422.88978657460194,-422.88978657460194,-422.88978657460194,0.0,0.0,0.0,34922.76647354707
