,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
545,2023-05-14,14095.85207647592,15094.786127871268,28530.917654529803,13521.51706933073,14690.378673761898,7545.671407452812,7545.671407452812,7545.671407452812,1978.632519409693,1978.632519409693,1978.632519409693,5567.03888804312,5567.03888804312,5567.03888804312,0.0,0.0,0.0,21641.52348392873
546,2023-05-15,14066.783027266989,13569.799214153245,26939.24866173543,13490.522359006842,14663.713867990087,6132.201011108453,6132.201011108453,6132.201011108453,574.9419354786016,574.9419354786016,574.9419354786016,5557.2590756298505,5557.2590756298505,5557.2590756298505,0.0,0.0,0.0,20198.98403837544
547,2023-05-16,14037.71397805806,13754.595634026518,27610.77660600345,13460.052646427022,14637.04906221828,6772.252912058437,6772.252912058437,6772.252912058437,1233.6568414803758,1233.6568414803758,1233.6568414803758,5538.59607057806,5538.59607057806,5538.59607057806,0.0,0.0,0.0,20809.9668901165
548,2023-05-17,14008.644928849119,13354.675264463829,26997.170946903752,13429.58293384718,14610.384256446463,5532.481183592153,5532.481183592153,5532.481183592153,20.425127160689325,20.425127160689325,20.425127160689325,5512.056056431463,5512.056056431463,5512.056056431463,0.0,0.0,0.0,19541.12611244127
549,2023-05-18,13979.575879640188,8534.657710135303,21466.430978130353,13394.173150067212,14583.719450674665,976.9041379476286,976.9041379476286,976.9041379476286,-4501.9721803968705,-4501.9721803968705,-4501.9721803968705,5478.8763183445,5478.8763183445,5478.8763183445,0.0,0.0,0.0,14956.480017587817
550,2023-05-19,13950.50683043127,11283.493934967863,24930.499450267773,13363.77454497328,14558.062298670528,4156.175760090718,4156.175760090718,4156.175760090718,-1284.316763377603,-1284.316763377603,-1284.316763377603,5440.49252346832,5440.49252346832,5440.49252346832,0.0,0.0,0.0,18106.68259052199
551,2023-05-20,13921.437781222341,14627.345734570976,28071.623909734197,13331.435882207392,14533.982227556888,7377.130224442411,7377.130224442411,7377.130224442411,1978.6325202545922,1978.6325202545922,1978.6325202545922,5398.497704187818,5398.497704187818,5398.497704187818,0.0,0.0,0.0,21298.568005664754
552,2023-05-21,13892.36873201341,14595.471458246417,28689.716145734736,13297.199986307489,14509.831269199241,7333.2264913320705,7333.2264913320705,7333.2264913320705,1978.6325194109963,1978.6325194109963,1978.6325194109963,5354.593971921075,5354.593971921075,5354.593971921075,0.0,0.0,0.0,21225.59522334548
553,2023-05-22,13863.299682804482,13644.705708307494,26180.79255607599,13262.964090407597,14485.365451992177,5885.480186947654,5885.480186947654,5885.480186947654,574.941935479777,574.941935479777,574.941935479777,5310.538251467878,5310.538251467878,5310.538251467878,0.0,0.0,0.0,19748.779869752136
554,2023-05-23,13834.23063359555,13119.024620693017,26698.496349010376,13228.728194507705,14460.713850593684,6501.7403966676075,6501.7403966676075,6501.7403966676075,1233.6568414832957,1233.6568414832957,1233.6568414832957,5268.08355518431,5268.08355518431,5268.08355518431,0.0,0.0,0.0,20335.971030263157
