,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
268,2022-10-12,45560.55630593221,45046.983254215105,46028.554750794465,45134.96307366439,45935.707289600505,-13.776401599008576,-13.776401599008576,-13.776401599008576,-13.776401599008576,-13.776401599008576,-13.776401599008576,0.0,0.0,0.0,45546.7799043332
269,2022-10-13,45540.80471405264,45025.0127739522,45993.35898913353,45091.01109472328,45932.94004824148,2.1518153479009636,2.1518153479009636,2.1518153479009636,2.1518153479009636,2.1518153479009636,2.1518153479009636,0.0,0.0,0.0,45542.95652940054
270,2022-10-14,45521.053122173085,44989.63076982473,46003.51914095879,45047.9266123515,45934.724928950105,-6.85214668166124,-6.85214668166124,-6.85214668166124,-6.85214668166124,-6.85214668166124,-6.85214668166124,0.0,0.0,0.0,45514.200975491425
271,2022-10-15,45501.30153029352,44929.44154723969,45988.26601087671,45010.36387484147,45936.46514051719,2.1563990187203603,2.1563990187203603,2.1563990187203603,2.1563990187203603,2.1563990187203603,2.1563990187203603,0.0,0.0,0.0,45503.45792931224
272,2022-10-16,45481.549938413955,44917.40946897464,46037.343532103536,44961.98535184525,45940.84708387011,2.1564489947063885,2.1564489947063885,2.1564489947063885,2.1564489947063885,2.1564489947063885,2.1564489947063885,0.0,0.0,0.0,45483.70638740866
273,2022-10-17,45461.79834653439,44848.876077645225,45982.391052765706,44911.572368160945,45941.99320199937,8.896050976022263,8.896050976022263,8.896050976022263,8.896050976022263,8.896050976022263,8.896050976022263,0.0,0.0,0.0,45470.694397510415
274,2022-10-18,45442.04675465483,44803.74479451433,46008.20117863937,44861.86066204267,45955.56448517372,5.267833943303698,5.267833943303698,5.267833943303698,5.267833943303698,5.267833943303698,5.267833943303698,0.0,0.0,0.0,45447.314588598136
275,2022-10-19,45422.29516277527,44718.3998654228,46015.24571767972,44811.65589420193,45954.93314466425,-13.776401599038472,-13.776401599038472,-13.776401599038472,-13.776401599038472,-13.776401599038472,-13.776401599038472,0.0,0.0,0.0,45408.51876117623
276,2022-10-20,45402.54357089571,44685.685870634625,45998.58940496411,44750.9556967146,45961.216639257116,2.1518153479040873,2.1518153479040873,2.1518153479040873,2.1518153479040873,2.1518153479040873,2.1518153479040873,0.0,0.0,0.0,45404.69538624361
277,2022-10-21,45382.79197901615,44657.20421011351,46038.62960782239,44704.54109256785,45968.12846126185,-6.852146681657469,-6.852146681657469,-6.852146681657469,-6.852146681657469,-6.852146681657469,-6.852146681657469,0.0,0.0,0.0,45375.93983233449
278,2022-10-22,45363.04038713658,44596.9243476234,46056.89470045802,44661.95780908147,45976.65375307953,2.156399018748701,2.156399018748701,2.156399018748701,2.156399018748701,2.156399018748701,2.156399018748701,0.0,0.0,0.0,45365.19678615533
279,2022-10-23,45343.288795257016,44588.30133589073,46075.058424746174,44606.376325518846,45985.831490206525,2.156448994678053,2.156448994678053,2.156448994678053,2.156448994678053,2.156448994678053,2.156448994678053,0.0,0.0,0.0,45345.44524425169
280,2022-10-24,45323.53720337746,44538.68223114193,46050.145211422714,44553.76788765989,46001.66825206393,8.896050976010939,8.896050976010939,8.896050976010939,8.896050976010939,8.896050976010939,8.896050976010939,0.0,0.0,0.0,45332.43325435348
281,2022-10-25,45303.78561149789,44497.237415063675,46007.29607625667,44509.132366109974,46003.31554960766,5.267833943264039,5.267833943264039,5.267833943264039,5.267833943264039,5.267833943264039,5.267833943264039,0.0,0.0,0.0,45309.05344544115
282,2022-10-26,45284.03401961834,44370.789982506874,46049.18128587395,44460.71502023774,46013.27019875955,-13.776401599022797,-13.776401599022797,-13.776401599022797,-13.776401599022797,-13.776401599022797,-13.776401599022797,0.0,0.0,0.0,45270.257618019314
283,2022-10-27,45264.28242773877,44366.26104015937,46069.45465449595,44409.22485763784,46040.17692017813,2.15181534788234,2.15181534788234,2.15181534788234,2.15181534788234,2.15181534788234,2.15181534788234,0.0,0.0,0.0,45266.43424308665
284,2022-10-28,45244.53083585921,44323.012508001884,46031.75609848629,44358.103542915866,46052.56850652691,-6.852146681653698,-6.852146681653698,-6.852146681653698,-6.852146681653698,-6.852146681653698,-6.852146681653698,0.0,0.0,0.0,45237.678689177555
285,2022-10-29,45224.77924397965,44316.872651266924,46101.71554026247,44311.04036237431,46054.65728289002,2.156399018741281,2.156399018741281,2.156399018741281,2.156399018741281,2.156399018741281,2.156399018741281,0.0,0.0,0.0,45226.93564299839
286,2022-10-30,45205.027652100085,44254.000194915956,46067.288720438,44261.47559048867,46074.44087659625,2.156448994741519,2.156448994741519,2.156448994741519,2.156448994741519,2.156448994741519,2.156448994741519,0.0,0.0,0.0,45207.18410109483
287,2022-10-31,45185.27606022052,44207.93798149609,46094.731240393805,44206.15742862829,46086.80451662944,8.896050976046563,8.896050976046563,8.896050976046563,8.896050976046563,8.896050976046563,8.896050976046563,0.0,0.0,0.0,45194.17211119657
288,2022-11-01,45165.52446834096,44139.010418581594,46130.03512545747,44166.579077989605,46085.639819862066,5.267833943355579,5.267833943355579,5.267833943355579,5.267833943355579,5.267833943355579,5.267833943355579,0.0,0.0,0.0,45170.79230228432
289,2022-11-02,45145.7728764614,44001.4862840176,46111.58226599859,44111.94751056666,46095.42717947285,-13.776401599007125,-13.776401599007125,-13.776401599007125,-13.776401599007125,-13.776401599007125,-13.776401599007125,0.0,0.0,0.0,45131.99647486239
290,2022-11-03,45126.02128458184,44024.316398686715,46149.430092019735,44059.17875601443,46121.72566588083,2.15181534788782,2.15181534788782,2.15181534788782,2.15181534788782,2.15181534788782,2.15181534788782,0.0,0.0,0.0,45128.17309992973
291,2022-11-04,45106.26969270228,43916.18139340427,46127.85685017744,44008.855928987025,46133.58780092257,-6.852146681649926,-6.852146681649926,-6.852146681649926,-6.852146681649926,-6.852146681649926,-6.852146681649926,0.0,0.0,0.0,45099.417546020624
292,2022-11-05,45086.518100822715,43930.58627728764,46166.213934216205,43955.132284031686,46138.081107071856,2.15639901873386,2.15639901873386,2.15639901873386,2.15639901873386,2.15639901873386,2.15639901873386,0.0,0.0,0.0,45088.67449984145
293,2022-11-06,45066.76650894315,43810.768668255274,46197.78997031241,43895.004728841115,46151.78857668214,2.156448994713183,2.156448994713183,2.156448994713183,2.156448994713183,2.156448994713183,2.156448994713183,0.0,0.0,0.0,45068.92295793786
294,2022-11-07,45047.01491706359,43825.41998028375,46261.732292130175,43842.43311876434,46163.94178314224,8.89605097603875,8.89605097603875,8.89605097603875,8.89605097603875,8.89605097603875,8.89605097603875,0.0,0.0,0.0,45055.91096803963
295,2022-11-08,45027.26332518403,43729.1013154005,46232.2370361653,43775.703334171805,46195.5826531267,5.267833943315919,5.267833943315919,5.267833943315919,5.267833943315919,5.267833943315919,5.267833943315919,0.0,0.0,0.0,45032.53115912735
296,2022-11-09,45007.51173330447,43673.36458325512,46200.99643866868,43725.431851332134,46203.00529816367,-13.776401599014237,-13.776401599014237,-13.776401599014237,-13.776401599014237,-13.776401599014237,-13.776401599014237,0.0,0.0,0.0,44993.73533170545
297,2022-11-10,44987.7601414249,43655.76556366495,46234.04330127898,43666.503453448015,46225.27846993879,2.1518153478933,2.1518153478933,2.1518153478933,2.1518153478933,2.1518153478933,2.1518153478933,0.0,0.0,0.0,44989.91195677279
298,2022-11-11,44968.00854954534,43599.70830764733,46188.32897829315,43609.18650234065,46251.07439513634,-6.852146681664693,-6.852146681664693,-6.852146681664693,-6.852146681664693,-6.852146681664693,-6.852146681664693,0.0,0.0,0.0,44961.15640286367
299,2022-11-12,44948.25695766578,43539.95676383677,46356.616734401665,43553.30306203592,46263.727032256436,2.156399018722473,2.156399018722473,2.156399018722473,2.156399018722473,2.156399018722473,2.156399018722473,0.0,0.0,0.0,44950.4133566845
300,2022-11-13,44928.505365786215,43508.47657654467,46306.725732518564,43493.236938450966,46278.51146380147,2.156448994684846,2.156448994684846,2.156448994684846,2.156448994684846,2.156448994684846,2.156448994684846,0.0,0.0,0.0,44930.6618147809
301,2022-11-14,44908.753773906654,43361.388429673316,46323.898492693326,43436.63525923797,46274.82507372733,8.896050976027423,8.896050976027423,8.896050976027423,8.896050976027423,8.896050976027423,8.896050976027423,0.0,0.0,0.0,44917.64982488268
302,2022-11-15,44889.00218202709,43328.08276020397,46279.698643322656,43383.95843907833,46275.14990927386,5.267833943314961,5.267833943314961,5.267833943314961,5.267833943314961,5.267833943314961,5.267833943314961,0.0,0.0,0.0,44894.2700159704
303,2022-11-16,44869.25059014754,43244.27505120502,46374.52940353439,43318.14691126253,46317.877502300275,-13.77640159902135,-13.77640159902135,-13.77640159902135,-13.77640159902135,-13.77640159902135,-13.77640159902135,0.0,0.0,0.0,44855.47418854852
304,2022-11-17,44849.49899826797,43248.310464605536,46326.67535612528,43266.5193109681,46335.74786741731,2.1518153478964237,2.1518153478964237,2.1518153478964237,2.1518153478964237,2.1518153478964237,2.1518153478964237,0.0,0.0,0.0,44851.650813615866
